date,Statid,tmed,tmax,tmin,deltat
2017-01-01,18,0.02,9.1,-0.1,9.2
2017-01-01,157,1.22,9.8,-0.1,9.9
2017-01-01,221,1.74,9.6,-0.1,9.7
date,Statid,tmed,tmax,tmin,deltat
2017-01-01,18,0.02,9.1,-0.1,9.2
2017-01-01,157,1.22,9.8,-0.1,9.9
2017-01-01,221,1.74,9.6,-0.1,9.7
2017-01-01,21,0.49,9.8,-0.1,9.9
2017-01-01,435,0.75,9.9,-0.1,10.0
2017-01-01,237,-0.54,7.8,-0.1,7.8999999999999995
2017-01-01,38,1.79,9.9,-0.1,10.0
2017-01-01,454,-2.46,8.2,-0.1,8.299999999999999
2017-01-01,78,1.12,9.8,-0.1,9.9
2017-01-01,246,1.2,9.8,-0.1,9.9
2017-01-01,456,1.37,9.9,-0.1,10.0
2017-01-01,345,-0.04,9.0,-0.1,9.1
2017-01-01,55,1.53,9.9,-0.1,10.0
2017-01-01,54,1.86,9.9,-0.1,10.0
2017-01-01,452,0.82,9.9,-0.1,10.0
2017-01-01,457,-3.19,6.4,-0.1,6.5
2017-01-06,461,-4.44,4.2,-0.1,4.3
2017-01-01,19,0.69,9.8,-0.1,9.9
2017-01-01,360,1.55,9.9,-0.1,10.0
2017-01-01,125,1.32,9.9,-0.1,10.0
2017-01-01,24,1.84,9.9,-0.1,10.0
2017-01-01,139,0.89,9.9,-0.1,10.0
2018-01-01,429,1.5,9.9,-0.1,10.0
2018-01-01,18,0.02,9.1,-0.1,9.2
2018-01-01,157,1.22,9.8,-0.1,9.9
2018-01-01,221,1.74,9.6,-0.1,9.7
2018-01-01,21,0.49,9.8,-0.1,9.9
2018-01-01,435,0.75,9.9,-0.1,10.0
2018-01-01,237,-0.54,7.8,-0.1,7.8999999999999995
2018-01-01,38,1.79,9.9,-0.1,10.0
2018-01-01,454,-2.46,8.2,-0.1,8.299999999999999
2018-01-01,78,1.12,9.8,-0.1,9.9
2018-01-01,246,1.2,9.8,-0.1,9.9
2018-01-01,456,1.37,9.9,-0.1,10.0
2018-01-01,345,-0.04,9.0,-0.1,9.1
2018-01-01,55,1.53,9.9,-0.1,10.0
2018-01-01,54,1.86,9.9,-0.1,10.0
2018-01-01,452,0.82,9.9,-0.1,10.0
2018-01-01,457,-3.19,6.4,-0.1,6.5
2018-01-06,461,-4.44,4.2,-0.1,4.3
2018-01-01,19,0.69,9.8,-0.1,9.9
2018-01-01,360,1.55,9.9,-0.1,10.0
2018-01-01,125,1.32,9.9,-0.1,10.0
2018-01-01,24,1.84,9.9,-0.1,10.0
2018-01-01,139,0.89,9.9,-0.1,10.0
2019-01-01,429,1.5,9.9,-0.1,10.0
2019-01-01,479,1.67,9.9,-0.1,10.0
2019-01-01,499,4.68,9.4,-0.6,10.0
2019-01-01,510,0.92,9.9,-0.1,10.0
2019-01-01,18,2.41,9.9,-0.1,10.0
2019-01-01,157,3.01,9.9,-0.1,10.0
