yyyy/mm/dd,IdStaz,average,maxtemp,mintemp,deltatemp
2017-02-01,429,0.02,9.1,-7.4,16.5
2017-03-01,429,4.21,12.8,-2.0,14.8
2017-04-01,429,9.17,18.6,2.6,16.0
2017-05-01,429,10.12,18.4,1.8,16.6
2017-06-01,429,14.38,24.6,4.0,20.6
2017-07-01,429,20.0,28.7,11.4,17.3
2017-08-01,429,20.9,28.6,12.6,16.0
2017-09-01,429,22.19,31.0,12.6,18.4
2017-10-01,429,13.95,22.3,6.7,15.6
2017-11-01,429,12.17,20.7,6.0,14.7
2017-12-01,429,5.84,12.1,-0.6,12.7
2017-10-17,479,2.77,13.1,-2.9,16.0
2017-11-01,479,14.26,22.3,8.2,14.1
2017-12-01,479,9.25,17.3,2.2,15.1
2017-01-01,18,4.83,13.4,-0.4,13.8
2017-02-01,18,1.22,11.2,-6.1,17.3
2017-03-01,18,7.01,15.8,-0.6,16.4
2017-04-01,18,12.35,24.9,2.9,22.0
2017-05-01,18,14.95,24.9,4.2,20.7
2017-06-01,18,19.11,30.9,7.7,23.2
2017-07-01,18,25.16,34.7,14.8,19.9
2017-08-01,18,25.65,33.9,14.8,19.1
2017-09-01,18,26.63,37.1,15.1,22.0
2017-10-01,18,18.36,28.9,9.7,19.2
2017-11-01,18,14.54,25.8,6.0,19.8
2017-12-01,18,8.33,17.1,-1.1,18.2
2017-01-01,157,2.99,10.8,-3.6,14.4
2017-02-01,157,1.73,10.2,-6.9,17.1
2017-03-01,157,7.25,15.3,-0.4,15.7
2017-04-01,157,13.63,25.3,3.2,22.1
2017-05-01,157,16.45,25.6,3.4,22.2
2017-06-01,157,21.31,33.1,9.0,24.1
2017-07-01,157,27.25,35.9,16.8,19.1
2017-08-01,157,28.63,36.2,16.8,19.4
2017-09-04,157,28.7,39.1,15.7,23.4
2017-10-01,157,19.42,30.0,9.3,20.7
2017-11-01,157,15.33,26.4,5.6,20.8
2017-12-01,157,8.13,18.2,-1.6,19.8
2017-06-23,472,3.09,9.2,-4.8,14.0
2017-07-01,472,23.03,35.8,-573.3,609.1
2017-08-01,472,24.98,35.3,-573.3,608.6
2017-09-01,472,24.42,38.0,-573.3,611.3
2017-10-01,472,15.53,28.9,-573.3,602.2
