yyyy/mm/dd,IdStaz,average,maxtemp,mintemp,deltatemp
2017-01-02,429,5.43,9.1,2.8,6.3
2017-01-03,429,2.35,5.2,0.5,4.7
2017-01-04,429,1.97,4.3,0.2,4.1
2017-01-05,429,1.63,6.1,-0.9,7.0
2017-01-06,429,0.71,3.6,-2.8,6.4
2017-01-07,429,-3.51,0.6,-6.3,6.9
2017-01-08,429,-5.55,-2.9,-7.2,4.3
2017-01-09,429,-4.8,-2.3,-7.4,5.1
2017-01-10,429,0.88,3.2,-2.7,5.9
2017-01-11,429,-4.37,-1.8,-6.8,5.0
2017-01-12,429,-4.89,-2.2,-6.8,4.6
2017-01-13,429,-4.1,-0.5,-6.6,6.1
2017-01-14,429,-0.57,1.4,-2.3,3.7
2017-01-15,429,1.6,4.8,-1.8,6.6
2017-01-16,429,0.02,2.4,-2.1,4.5
2017-01-17,429,-2.17,0.2,-3.7,3.9
2017-01-18,429,-0.69,2.3,-2.5,4.8
2017-01-19,429,0.13,2.8,-1.9,4.7
2017-01-20,429,-0.11,2.7,-2.3,5.0
2017-01-21,429,-0.28,2.3,-2.5,4.8
2017-01-22,429,1.37,4.0,-1.8,5.8
2017-01-23,429,3.22,5.8,1.4,4.4
2017-01-24,429,4.02,6.9,1.3,5.6
2017-01-25,429,4.86,8.1,2.5,5.6
2017-01-26,429,2.59,4.8,-1.6,6.4
2017-01-27,429,-0.41,2.2,-3.4,5.6
2017-01-28,429,-1.33,2.6,-3.3,5.9
2017-01-29,429,-0.92,1.7,-2.6,4.3
2017-01-30,429,0.59,3.1,-2.6,5.7
2017-01-31,429,2.33,4.7,0.7,4.0
2017-02-01,429,0.77,2.8,-0.4,3.2
2017-02-02,429,3.24,5.5,1.3,4.2
2017-02-03,429,5.39,6.7,3.4,3.3
2017-02-04,429,6.0,7.8,5.1,2.7
2017-02-05,429,3.79,7.6,1.6,6.0
2017-02-06,429,3.01,7.1,0.6,6.5
2017-02-07,429,6.03,9.2,3.6,5.6
2017-02-08,429,4.98,7.7,2.9,4.8
2017-02-09,429,1.43,2.8,-0.7,3.5
2017-02-10,429,0.39,3.2,-2.0,5.2
2017-02-11,429,1.05,2.3,-0.5,2.8
2017-02-12,429,1.77,2.6,0.8,1.8
2017-02-13,429,3.13,5.1,1.2,3.9
2017-02-14,429,2.36,3.3,1.7,1.6
2017-02-15,429,4.69,7.9,1.8,6.1
2017-02-16,429,8.23,12.8,4.7,8.1
2017-02-17,429,9.28,12.1,7.3,4.8
2017-02-18,429,6.32,8.7,3.6,5.1
2017-02-19,429,4.63,8.2,2.8,5.4
2017-02-20,429,4.27,7.1,2.1,5.0
2017-02-21,429,3.65,6.6,1.4,5.2
2017-02-22,429,3.79,6.8,2.3,4.5
2017-02-23,429,2.87,4.3,1.6,2.7
2017-02-24,429,3.65,4.6,2.7,1.9
2017-02-25,429,5.25,6.4,3.0,3.4
2017-02-26,429,3.91,8.3,0.7,7.6
2017-02-27,429,4.76,9.2,1.2,8.0
2017-02-28,429,5.13,8.3,2.9,5.4
2017-03-01,429,4.71,6.2,2.9,3.3
2017-03-02,429,6.68,9.9,3.1,6.8
2017-03-03,429,6.49,10.2,3.2,7.0
2017-03-04,429,6.84,9.9,4.3,5.6
2017-03-05,429,5.47,6.7,4.6,2.1
2017-03-06,429,5.19,8.1,3.7,4.4
2017-03-07,429,5.36,8.5,3.3,5.2
2017-03-08,429,7.74,11.7,3.2,8.5
2017-03-09,429,7.86,11.1,4.8,6.3
2017-03-10,429,9.89,13.0,6.8,6.2
2017-03-11,429,12.68,15.8,6.9,8.9
2017-03-12,429,6.96,10.0,3.9,6.1
2017-03-13,429,6.16,8.8,3.6,5.2
2017-03-14,429,5.94,9.5,2.6,6.9
2017-03-15,429,9.48,13.4,6.0,7.4
2017-03-16,429,9.03,11.4,7.3,4.1
2017-03-17,429,10.1,14.2,6.9,7.3
2017-03-18,429,10.62,14.3,7.6,6.7
2017-03-19,429,9.98,13.8,7.1,6.7
2017-03-20,429,8.92,11.9,6.0,5.9
2017-03-21,429,9.24,11.5,7.3,4.2
2017-03-22,429,9.01,10.2,8.3,1.9
2017-03-23,429,8.71,10.3,7.6,2.7
2017-03-24,429,9.58,12.9,6.6,6.3
2017-03-25,429,11.88,15.6,9.7,5.9
2017-03-26,429,13.18,16.3,10.1,6.2
2017-03-27,429,7.98,11.9,4.1,7.8
2017-03-28,429,7.0,11.1,3.2,7.9
2017-03-29,429,11.06,14.9,6.9,8.0
2017-03-30,429,14.34,17.7,11.1,6.6
2017-03-31,429,15.61,18.6,13.3,5.3
2017-04-01,429,14.9,18.0,12.2,5.8
2017-04-02,429,12.38,15.1,9.7,5.4
2017-04-03,429,11.27,13.6,9.7,3.9
2017-04-04,429,14.78,18.4,10.5,7.9
2017-04-05,429,13.12,17.0,8.2,8.8
2017-04-06,429,9.02,12.5,6.3,6.2
2017-04-07,429,10.32,13.2,8.7,4.5
2017-04-08,429,8.96,11.8,6.2,5.6
2017-04-09,429,11.85,16.8,6.9,9.9
2017-04-10,429,13.53,17.3,11.0,6.3
2017-04-11,429,14.12,17.7,11.3,6.4
2017-04-12,429,13.25,17.1,10.7,6.4
2017-04-13,429,11.83,14.9,9.1,5.8
2017-04-14,429,12.91,16.7,10.1,6.6
2017-04-15,429,13.66,17.5,10.9,6.6
2017-04-16,429,11.23,13.2,9.5,3.7
2017-04-17,429,11.42,16.5,7.8,8.7
2017-04-18,429,7.77,10.4,4.8,5.6
2017-04-19,429,5.36,7.6,2.2,5.4
2017-04-20,429,5.82,9.6,2.4,7.2
2017-04-21,429,6.2,10.6,2.3,8.3
2017-04-22,429,5.96,10.3,1.8,8.5
2017-04-23,429,8.99,13.8,4.3,9.5
2017-04-24,429,9.45,12.7,6.3,6.4
2017-04-25,429,8.66,10.7,7.0,3.7
2017-04-26,429,9.42,11.7,7.7,4.0
2017-04-27,429,8.72,10.2,7.7,2.5
